t,total,total_males,total_females,jewish_total,jewish_males,jewish_females,total_arabics,male_arabics,female_arabics,0-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
2000-01-01,134.0,75.0,59.0,117.0,61.0,56.0,17.0,14.0,3.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,8.0,17.0,30.0,20.0,35.0,8.0
2000-01-02,141.0,70.0,71.0,131.0,64.0,67.0,10.0,6.0,4.0,3.0,1.0,2.0,0.0,2.0,4.0,2.0,5.0,6.0,10.0,12.0,14.0,24.0,19.0,21.0,16.0
2000-01-03,134.0,72.0,62.0,118.0,61.0,57.0,16.0,11.0,5.0,7.0,0.0,1.0,1.0,0.0,3.0,4.0,5.0,4.0,9.0,8.0,15.0,22.0,15.0,24.0,16.0
2000-01-04,137.0,72.0,65.0,118.0,64.0,54.0,19.0,8.0,11.0,7.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,6.0,5.0,11.0,18.0,27.0,14.0,16.0,22.0
2000-01-05,133.0,68.0,65.0,117.0,59.0,58.0,16.0,9.0,7.0,4.0,1.0,0.0,0.0,2.0,1.0,3.0,5.0,3.0,5.0,12.0,14.0,20.0,20.0,28.0,15.0
2000-01-06,165.0,87.0,78.0,153.0,79.0,74.0,12.0,8.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,5.0,3.0,7.0,18.0,15.0,32.0,28.0,29.0,15.0
2000-01-07,131.0,63.0,68.0,116.0,57.0,59.0,15.0,6.0,9.0,5.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,5.0,5.0,10.0,12.0,21.0,21.0,23.0,16.0
2000-01-08,125.0,65.0,60.0,116.0,61.0,55.0,9.0,4.0,5.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,5.0,13.0,11.0,17.0,24.0,22.0,14.0
2000-01-09,140.0,76.0,64.0,128.0,70.0,58.0,12.0,6.0,6.0,6.0,0.0,2.0,0.0,2.0,3.0,3.0,2.0,6.0,11.0,10.0,13.0,23.0,18.0,27.0,14.0
2000-01-10,144.0,81.0,63.0,134.0,75.0,59.0,10.0,6.0,4.0,3.0,0.0,1.0,2.0,3.0,1.0,6.0,1.0,3.0,6.0,10.0,14.0,26.0,19.0,27.0,22.0
2000-01-11,125.0,69.0,56.0,109.0,58.0,51.0,16.0,11.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,7.0,5.0,6.0,18.0,12.0,22.0,18.0,18.0
2000-01-12,143.0,72.0,71.0,133.0,63.0,70.0,10.0,9.0,1.0,4.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,8.0,13.0,13.0,25.0,24.0,31.0,15.0
2000-01-13,114.0,63.0,51.0,101.0,54.0,47.0,13.0,9.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,6.0,5.0,9.0,19.0,16.0,15.0,22.0,10.0
2000-01-14,148.0,69.0,79.0,137.0,62.0,75.0,11.0,7.0,4.0,5.0,2.0,0.0,0.0,1.0,4.0,1.0,2.0,5.0,7.0,13.0,12.0,34.0,24.0,25.0,13.0
2000-01-15,125.0,63.0,62.0,117.0,57.0,60.0,8.0,6.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,4.0,5.0,8.0,14.0,19.0,25.0,17.0,15.0
2000-01-16,143.0,70.0,73.0,130.0,61.0,69.0,13.0,9.0,4.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,3.0,5.0,7.0,9.0,17.0,31.0,22.0,21.0,18.0
2000-01-17,153.0,76.0,77.0,142.0,68.0,74.0,11.0,8.0,3.0,4.0,3.0,0.0,3.0,0.0,1.0,1.0,6.0,4.0,5.0,16.0,19.0,26.0,25.0,20.0,20.0
2000-01-18,150.0,73.0,77.0,131.0,64.0,67.0,19.0,9.0,10.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,3.0,9.0,12.0,20.0,21.0,16.0,35.0,22.0
2000-01-19,175.0,85.0,90.0,162.0,77.0,85.0,13.0,8.0,5.0,6.0,1.0,1.0,2.0,0.0,1.0,4.0,1.0,9.0,9.0,16.0,15.0,29.0,21.0,37.0,23.0
2000-01-20,142.0,74.0,68.0,129.0,67.0,62.0,13.0,7.0,6.0,9.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,7.0,5.0,7.0,16.0,27.0,18.0,30.0,14.0
2000-01-21,129.0,64.0,65.0,122.0,59.0,63.0,7.0,5.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,1.0,3.0,5.0,8.0,19.0,16.0,16.0,30.0,20.0
2000-01-22,146.0,77.0,69.0,134.0,70.0,64.0,12.0,7.0,5.0,7.0,1.0,0.0,2.0,2.0,4.0,2.0,5.0,2.0,4.0,17.0,16.0,27.0,21.0,20.0,16.0
2000-01-23,153.0,71.0,82.0,143.0,66.0,77.0,10.0,5.0,5.0,3.0,0.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,6.0,14.0,22.0,24.0,24.0,28.0,16.0
2000-01-24,136.0,55.0,81.0,119.0,44.0,75.0,17.0,11.0,6.0,6.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,6.0,12.0,13.0,16.0,23.0,16.0,26.0,12.0
2000-01-25,136.0,65.0,71.0,122.0,59.0,63.0,14.0,6.0,8.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,3.0,7.0,15.0,9.0,17.0,23.0,28.0,19.0
2000-01-26,154.0,75.0,79.0,134.0,62.0,72.0,20.0,13.0,7.0,6.0,2.0,1.0,1.0,1.0,5.0,2.0,0.0,2.0,11.0,10.0,23.0,23.0,16.0,30.0,21.0
2000-01-27,142.0,74.0,68.0,125.0,62.0,63.0,17.0,12.0,5.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,6.0,1.0,5.0,9.0,18.0,26.0,32.0,28.0,9.0
2000-01-28,140.0,69.0,71.0,124.0,58.0,66.0,16.0,11.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,4.0,8.0,14.0,17.0,25.0,18.0,23.0,15.0
2000-01-29,113.0,62.0,51.0,101.0,53.0,48.0,12.0,9.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,3.0,5.0,4.0,2.0,8.0,9.0,16.0,18.0,20.0,22.0
2000-01-30,131.0,66.0,65.0,118.0,59.0,59.0,13.0,7.0,6.0,6.0,0.0,2.0,1.0,2.0,2.0,2.0,6.0,2.0,8.0,5.0,16.0,27.0,21.0,16.0,15.0
2000-01-31,140.0,76.0,64.0,122.0,65.0,57.0,18.0,11.0,7.0,0.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,5.0,13.0,14.0,22.0,23.0,24.0,21.0
2000-02-01,138.0,69.0,69.0,123.0,61.0,62.0,15.0,8.0,7.0,8.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,3.0,8.0,14.0,14.0,17.0,23.0,27.0,15.0
2000-02-02,138.0,80.0,58.0,128.0,75.0,53.0,10.0,5.0,5.0,3.0,1.0,0.0,3.0,1.0,4.0,4.0,2.0,7.0,8.0,10.0,12.0,17.0,28.0,21.0,17.0
2000-02-03,140.0,73.0,67.0,121.0,62.0,59.0,19.0,11.0,8.0,6.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,3.0,8.0,12.0,23.0,25.0,20.0,18.0,17.0
2000-02-04,131.0,59.0,72.0,119.0,54.0,65.0,12.0,5.0,7.0,5.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,4.0,8.0,6.0,14.0,22.0,28.0,18.0,17.0
2000-02-05,144.0,74.0,70.0,122.0,63.0,59.0,22.0,11.0,11.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,7.0,10.0,18.0,19.0,22.0,29.0,20.0
