TimePeriod,Value
1970-01-01,2260.0
1970-02-01,1661.0
1970-03-01,1743.0
1970-04-01,1617.0
1970-05-01,1592.0
1970-06-01,1526.0
1970-07-01,1627.0
1970-08-01,1526.0
1970-09-01,1547.0
1970-10-01,1633.0
1970-11-01,1653.0
1970-12-01,2011.0
1971-01-01,1865.0
1971-02-01,1789.0
1971-03-01,1809.0
1971-04-01,1691.0
1971-05-01,1576.0
1971-06-01,1606.0
1971-07-01,1666.0
1971-08-01,1589.0
1971-09-01,1495.0
1971-10-01,1592.0
1971-11-01,1774.0
1971-12-01,2168.0
1972-01-01,2582.0
1972-02-01,2056.0
1972-03-01,1961.0
1972-04-01,1650.0
1972-05-01,1704.0
1972-06-01,1598.0
1972-07-01,1614.0
1972-08-01,1707.0
1972-09-01,1569.0
1972-10-01,1654.0
1972-11-01,1819.0
1972-12-01,2147.0
1973-01-01,2616.0
1973-02-01,1984.0
1973-03-01,1979.0
1973-04-01,1883.0
1973-05-01,1673.0
1973-06-01,1638.0
1973-07-01,1885.0
1973-08-01,1691.0
1973-09-01,1799.0
1973-10-01,1935.0
1973-11-01,1992.0
1973-12-01,2152.0
1974-01-01,2536.0
1974-02-01,2150.0
1974-03-01,2128.0
1974-04-01,1960.0
1974-05-01,1897.0
1974-06-01,1732.0
1974-07-01,1917.0
1974-08-01,1840.0
1974-09-01,1791.0
1974-10-01,1936.0
1974-11-01,1908.0
1974-12-01,2338.0
1975-01-01,2559.0
1975-02-01,2681.0
1975-03-01,2187.0
1975-04-01,1784.0
1975-05-01,1901.0
1975-06-01,1706.0
1975-07-01,1839.0
1975-08-01,1818.0
1975-09-01,1733.0
1975-10-01,1853.0
1975-11-01,2028.0
1975-12-01,2250.0
1976-01-01,2315.0
1976-02-01,2221.0
1976-03-01,2460.0
1976-04-01,2061.0
1976-05-01,1866.0
1976-06-01,1771.0
1976-07-01,1872.0
1976-08-01,1895.0
1976-09-01,1863.0
1976-10-01,1869.0
1976-11-01,1826.0
1976-12-01,2052.0
1977-01-01,2507.0
1977-02-01,2149.0
1977-03-01,2329.0
1977-04-01,2006.0
1977-05-01,1967.0
1977-06-01,1776.0
1977-07-01,1943.0
1977-08-01,2012.0
1977-09-01,1805.0
1977-10-01,1939.0
1977-11-01,2127.0
1977-12-01,2449.0
1978-01-01,2901.0
1978-02-01,2154.0
1978-03-01,2171.0
1978-04-01,1900.0
1978-05-01,1969.0
1978-06-01,1811.0
1978-07-01,1966.0
1978-08-01,1882.0
1978-09-01,1824.0
