,section,female,male,period,order_period
0,0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
1,0-9,"{'amount': 3, 'percentage': 0}","{'amount': 2, 'percentage': 0}",שנה,2
2,0-9,"{'amount': 2, 'percentage': 0.1}","{'amount': 1, 'percentage': 0}",6 חודשים,3
3,0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים,4
4,0-9,"{'amount': 3, 'percentage': 0}","{'amount': 2, 'percentage': 0}",מתחילת קורונה,1
5,10-19,"{'amount': 3, 'percentage': 0}","{'amount': 3, 'percentage': 0}",מתחילת קורונה,1
6,10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
7,10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים,4
8,10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0}",6 חודשים,3
9,10-19,"{'amount': 1, 'percentage': 0}","{'amount': 2, 'percentage': 0}",שנה,2
10,20-29,"{'amount': 4, 'percentage': 0.2}","{'amount': 14, 'percentage': 0.6}",6 חודשים,3
11,20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים,4
12,20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
13,20-29,"{'amount': 13, 'percentage': 0.2}","{'amount': 19, 'percentage': 0.3}",מתחילת קורונה,1
14,20-29,"{'amount': 12, 'percentage': 0.2}","{'amount': 18, 'percentage': 0.3}",שנה,2
15,30-39,"{'amount': 22, 'percentage': 0.4}","{'amount': 28, 'percentage': 0.5}",שנה,2
16,30-39,"{'amount': 14, 'percentage': 0.6}","{'amount': 16, 'percentage': 0.7}",6 חודשים,3
17,30-39,"{'amount': 1, 'percentage': 1.1}","{'amount': 2, 'percentage': 2.2}",3 חודשים,4
18,30-39,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 5.3}",חודש אחרון,5
19,30-39,"{'amount': 22, 'percentage': 0.3}","{'amount': 30, 'percentage': 0.5}",מתחילת קורונה,1
20,40-49,"{'amount': 52, 'percentage': 0.9}","{'amount': 67, 'percentage': 1.1}",שנה,2
21,40-49,"{'amount': 29, 'percentage': 1.3}","{'amount': 39, 'percentage': 1.7}",6 חודשים,3
22,40-49,"{'amount': 0, 'percentage': 0}","{'amount': 5, 'percentage': 5.4}",3 חודשים,4
23,40-49,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 5.3}",חודש אחרון,5
24,40-49,"{'amount': 55, 'percentage': 0.9}","{'amount': 70, 'percentage': 1.1}",מתחילת קורונה,1
25,50-59,"{'amount': 53, 'percentage': 2.3}","{'amount': 106, 'percentage': 4.6}",6 חודשים,3
26,50-59,"{'amount': 7, 'percentage': 7.6}","{'amount': 11, 'percentage': 12}",3 חודשים,4
27,50-59,"{'amount': 119, 'percentage': 2}","{'amount': 244, 'percentage': 4.1}",שנה,2
28,50-59,"{'amount': 125, 'percentage': 1.9}","{'amount': 252, 'percentage': 3.9}",מתחילת קורונה,1
29,50-59,"{'amount': 1, 'percentage': 5.3}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
30,60-69,"{'amount': 7, 'percentage': 7.6}","{'amount': 7, 'percentage': 7.6}",3 חודשים,4
31,60-69,"{'amount': 139, 'percentage': 6.1}","{'amount': 244, 'percentage': 10.7}",6 חודשים,3
32,60-69,"{'amount': 1, 'percentage': 5.3}","{'amount': 1, 'percentage': 5.3}",חודש אחרון,5
33,60-69,"{'amount': 305, 'percentage': 4.7}","{'amount': 644, 'percentage': 10}",מתחילת קורונה,1
34,60-69,"{'amount': 291, 'percentage': 4.8}","{'amount': 619, 'percentage': 10.3}",שנה,2
35,70-79,"{'amount': 1, 'percentage': 5.3}","{'amount': 1, 'percentage': 5.3}",חודש אחרון,5
36,70-79,"{'amount': 10, 'percentage': 10.9}","{'amount': 7, 'percentage': 7.6}",3 חודשים,4
37,70-79,"{'amount': 252, 'percentage': 11}","{'amount': 343, 'percentage': 15}",6 חודשים,3
38,70-79,"{'amount': 569, 'percentage': 9.4}","{'amount': 963, 'percentage': 16}",שנה,2
39,70-79,"{'amount': 601, 'percentage': 9.3}","{'amount': 1030, 'percentage': 16}",מתחילת קורונה,1
40,80-89,"{'amount': 10, 'percentage': 10.9}","{'amount': 17, 'percentage': 18.5}",3 חודשים,4
41,80-89,"{'amount': 927, 'percentage': 15.4}","{'amount': 1038, 'percentage': 17.2}",שנה,2
42,80-89,"{'amount': 348, 'percentage': 15.2}","{'amount': 345, 'percentage': 15.1}",6 חודשים,3
43,80-89,"{'amount': 5, 'percentage': 26.3}","{'amount': 5, 'percentage': 26.3}",חודש אחרון,5
44,80-89,"{'amount': 997, 'percentage': 15.5}","{'amount': 1120, 'percentage': 17.4}",מתחילת קורונה,1
45,90+,"{'amount': 665, 'percentage': 10.3}","{'amount': 491, 'percentage': 7.6}",מתחילת קורונה,1
46,90+,"{'amount': 1, 'percentage': 5.3}","{'amount': 1, 'percentage': 5.3}",חודש אחרון,5
47,90+,"{'amount': 6, 'percentage': 6.5}","{'amount': 2, 'percentage': 2.2}",3 חודשים,4
48,90+,"{'amount': 192, 'percentage': 8.4}","{'amount': 144, 'percentage': 6.3}",6 חודשים,3
49,90+,"{'amount': 597, 'percentage': 9.9}","{'amount': 448, 'percentage': 7.4}",שנה,2
