,date,amount,total
0,2020-03-02 00:00:00+00:00,0,0
1,2020-03-03 00:00:00+00:00,0,0
2,2020-03-04 00:00:00+00:00,0,0
3,2020-03-05 00:00:00+00:00,0,0
4,2020-03-06 00:00:00+00:00,0,0
5,2020-03-07 00:00:00+00:00,0,0
6,2020-03-08 00:00:00+00:00,0,0
7,2020-03-09 00:00:00+00:00,0,0
8,2020-03-10 00:00:00+00:00,0,0
9,2020-03-11 00:00:00+00:00,0,0
10,2020-03-12 00:00:00+00:00,0,0
11,2020-03-13 00:00:00+00:00,0,0
12,2020-03-14 00:00:00+00:00,0,0
13,2020-03-15 00:00:00+00:00,0,0
14,2020-03-16 00:00:00+00:00,0,0
15,2020-03-17 00:00:00+00:00,0,0
16,2020-03-18 00:00:00+00:00,0,0
17,2020-03-19 00:00:00+00:00,0,0
18,2020-03-20 00:00:00+00:00,1,1
19,2020-03-21 00:00:00+00:00,0,1
20,2020-03-22 00:00:00+00:00,0,1
21,2020-03-23 00:00:00+00:00,0,1
22,2020-03-24 00:00:00+00:00,3,4
23,2020-03-25 00:00:00+00:00,1,5
24,2020-03-26 00:00:00+00:00,5,10
25,2020-03-27 00:00:00+00:00,2,12
26,2020-03-28 00:00:00+00:00,1,13
27,2020-03-29 00:00:00+00:00,3,16
28,2020-03-30 00:00:00+00:00,1,17
29,2020-03-31 00:00:00+00:00,4,21
30,2020-04-01 00:00:00+00:00,8,29
31,2020-04-02 00:00:00+00:00,9,38
32,2020-04-03 00:00:00+00:00,5,43
33,2020-04-04 00:00:00+00:00,6,49
34,2020-04-05 00:00:00+00:00,7,56
35,2020-04-06 00:00:00+00:00,8,64
36,2020-04-07 00:00:00+00:00,8,72
37,2020-04-08 00:00:00+00:00,8,80
38,2020-04-09 00:00:00+00:00,9,89
39,2020-04-10 00:00:00+00:00,8,97
40,2020-04-11 00:00:00+00:00,6,103
41,2020-04-12 00:00:00+00:00,6,109
42,2020-04-13 00:00:00+00:00,9,118
43,2020-04-14 00:00:00+00:00,8,126
44,2020-04-15 00:00:00+00:00,13,139
45,2020-04-16 00:00:00+00:00,7,146
46,2020-04-17 00:00:00+00:00,9,155
47,2020-04-18 00:00:00+00:00,11,166
48,2020-04-19 00:00:00+00:00,8,174
49,2020-04-20 00:00:00+00:00,6,180
50,2020-04-21 00:00:00+00:00,10,190
51,2020-04-22 00:00:00+00:00,3,193
52,2020-04-23 00:00:00+00:00,4,197
53,2020-04-24 00:00:00+00:00,3,200
54,2020-04-25 00:00:00+00:00,3,203
55,2020-04-26 00:00:00+00:00,2,205
56,2020-04-27 00:00:00+00:00,4,209
57,2020-04-28 00:00:00+00:00,5,214
58,2020-04-29 00:00:00+00:00,6,220
59,2020-04-30 00:00:00+00:00,6,226
60,2020-05-01 00:00:00+00:00,4,230
61,2020-05-02 00:00:00+00:00,3,233
62,2020-05-03 00:00:00+00:00,3,236
63,2020-05-04 00:00:00+00:00,3,239
64,2020-05-05 00:00:00+00:00,2,241
65,2020-05-06 00:00:00+00:00,1,242
66,2020-05-07 00:00:00+00:00,1,243
67,2020-05-08 00:00:00+00:00,6,249
68,2020-05-09 00:00:00+00:00,3,252
69,2020-05-10 00:00:00+00:00,4,256
70,2020-05-11 00:00:00+00:00,5,261
71,2020-05-12 00:00:00+00:00,3,264
72,2020-05-13 00:00:00+00:00,3,267
73,2020-05-14 00:00:00+00:00,3,270
74,2020-05-15 00:00:00+00:00,0,270
75,2020-05-16 00:00:00+00:00,3,273
76,2020-05-17 00:00:00+00:00,4,277
77,2020-05-18 00:00:00+00:00,3,280
78,2020-05-19 00:00:00+00:00,2,282
79,2020-05-20 00:00:00+00:00,1,283
80,2020-05-21 00:00:00+00:00,0,283
81,2020-05-22 00:00:00+00:00,0,283
82,2020-05-23 00:00:00+00:00,0,283
83,2020-05-24 00:00:00+00:00,1,284
