,date,amount,recovered,avg,sum,coronaEvents
0,2020-02-12 00:00:00+00:00,0,0,7,7,
1,2020-02-13 00:00:00+00:00,0,0,3,7,
2,2020-02-14 00:00:00+00:00,0,0,2,7,
3,2020-02-15 00:00:00+00:00,0,0,1,7,
4,2020-02-16 00:00:00+00:00,0,0,1,7,
5,2020-02-17 00:00:00+00:00,0,0,1,7,
6,2020-02-18 00:00:00+00:00,0,0,1,7,
7,2020-02-19 00:00:00+00:00,0,0,0,7,
8,2020-02-20 00:00:00+00:00,0,0,0,7,
9,2020-02-21 00:00:00+00:00,1,0,0,8,
10,2020-02-22 00:00:00+00:00,0,0,0,8,
11,2020-02-23 00:00:00+00:00,0,0,0,8,
12,2020-02-24 00:00:00+00:00,1,0,0,9,
13,2020-02-25 00:00:00+00:00,0,0,0,9,
14,2020-02-26 00:00:00+00:00,0,0,0,9,
15,2020-02-27 00:00:00+00:00,1,0,0,10,
16,2020-02-28 00:00:00+00:00,3,0,0,13,
17,2020-02-29 00:00:00+00:00,0,0,0,13,
18,2020-03-01 00:00:00+00:00,1,0,0,14,
19,2020-03-02 00:00:00+00:00,5,0,0,19,
20,2020-03-03 00:00:00+00:00,3,0,1,22,
21,2020-03-04 00:00:00+00:00,0,0,1,22,
22,2020-03-05 00:00:00+00:00,9,0,1,31,
23,2020-03-06 00:00:00+00:00,4,0,3,35,
24,2020-03-07 00:00:00+00:00,4,0,3,39,
25,2020-03-08 00:00:00+00:00,9,0,3,48,
26,2020-03-09 00:00:00+00:00,4,0,4,52,ערב פורים 
27,2020-03-10 00:00:00+00:00,33,0,4,85,
28,2020-03-11 00:00:00+00:00,19,0,9,104,
29,2020-03-12 00:00:00+00:00,22,0,11,126,
30,2020-03-13 00:00:00+00:00,35,1,13,161,
31,2020-03-14 00:00:00+00:00,29,0,18,190,סגר 1 
32,2020-03-15 00:00:00+00:00,40,0,21,230,
33,2020-03-16 00:00:00+00:00,73,0,26,303,
34,2020-03-17 00:00:00+00:00,94,2,35,397,
35,2020-03-18 00:00:00+00:00,125,2,44,522,
36,2020-03-19 00:00:00+00:00,136,4,59,658,
37,2020-03-20 00:00:00+00:00,168,1,76,826,
38,2020-03-21 00:00:00+00:00,211,1,95,1037,
39,2020-03-22 00:00:00+00:00,254,4,121,1291,
40,2020-03-23 00:00:00+00:00,352,6,151,1643,
41,2020-03-24 00:00:00+00:00,423,5,191,2066,
42,2020-03-25 00:00:00+00:00,425,6,238,2491,
43,2020-03-26 00:00:00+00:00,520,10,281,3011,
44,2020-03-27 00:00:00+00:00,434,18,336,3445,
45,2020-03-28 00:00:00+00:00,479,9,374,3924,
46,2020-03-29 00:00:00+00:00,531,15,412,4455,
47,2020-03-30 00:00:00+00:00,548,33,452,5003,
48,2020-03-31 00:00:00+00:00,739,43,480,5742,
49,2020-04-01 00:00:00+00:00,703,147,525,6438,
50,2020-04-02 00:00:00+00:00,721,80,563,7159,
51,2020-04-03 00:00:00+00:00,599,57,592,7758,
52,2020-04-04 00:00:00+00:00,429,53,616,8187,
53,2020-04-05 00:00:00+00:00,585,102,609,8772,
54,2020-04-06 00:00:00+00:00,450,121,616,9222,
55,2020-04-07 00:00:00+00:00,377,122,602,9599,
56,2020-04-08 00:00:00+00:00,339,107,551,9938,
57,2020-04-09 00:00:00+00:00,343,113,500,10281,
58,2020-04-10 00:00:00+00:00,359,129,446,10640,
59,2020-04-11 00:00:00+00:00,345,121,411,10985,
60,2020-04-12 00:00:00+00:00,552,257,399,11537,
61,2020-04-13 00:00:00+00:00,438,281,395,11975,
62,2020-04-14 00:00:00+00:00,399,293,393,12374,
63,2020-04-15 00:00:00+00:00,311,280,396,12685,
64,2020-04-16 00:00:00+00:00,297,324,392,12982,
65,2020-04-17 00:00:00+00:00,298,356,385,13280,
66,2020-04-18 00:00:00+00:00,291,246,377,13571,
67,2020-04-19 00:00:00+00:00,276,384,369,13847,פתיחת משק חלקית
68,2020-04-20 00:00:00+00:00,299,449,330,14146,
69,2020-04-21 00:00:00+00:00,282,372,310,14428,
70,2020-04-22 00:00:00+00:00,225,392,293,14653,
71,2020-04-23 00:00:00+00:00,276,330,281,14929,
72,2020-04-24 00:00:00+00:00,249,337,278,15178,
73,2020-04-25 00:00:00+00:00,159,377,271,15337,
74,2020-04-26 00:00:00+00:00,83,431,252,15420,
75,2020-04-27 00:00:00+00:00,127,467,224,15547,
76,2020-04-28 00:00:00+00:00,161,560,200,15708,
77,2020-04-29 00:00:00+00:00,82,352,182,15790,
78,2020-04-30 00:00:00+00:00,142,424,162,15932,
79,2020-05-01 00:00:00+00:00,116,419,143,16048,
80,2020-05-02 00:00:00+00:00,57,280,124,16105,
81,2020-05-03 00:00:00+00:00,27,290,109,16132,
82,2020-05-04 00:00:00+00:00,55,260,101,16187,
83,2020-05-05 00:00:00+00:00,33,317,91,16220,
84,2020-05-06 00:00:00+00:00,65,258,73,16285,
85,2020-05-07 00:00:00+00:00,61,228,70,16346,
86,2020-05-08 00:00:00+00:00,33,223,59,16379,
87,2020-05-09 00:00:00+00:00,20,89,47,16399,
88,2020-05-10 00:00:00+00:00,29,170,42,16428,
89,2020-05-11 00:00:00+00:00,39,331,42,16467,
90,2020-05-12 00:00:00+00:00,23,257,40,16490,
91,2020-05-13 00:00:00+00:00,39,182,38,16529,
92,2020-05-14 00:00:00+00:00,22,242,34,16551,
93,2020-05-15 00:00:00+00:00,12,162,29,16563,
94,2020-05-16 00:00:00+00:00,5,104,26,16568,
95,2020-05-17 00:00:00+00:00,15,153,24,16583,
96,2020-05-18 00:00:00+00:00,27,276,22,16610,
97,2020-05-19 00:00:00+00:00,22,154,20,16632,
98,2020-05-20 00:00:00+00:00,15,114,20,16647,
99,2020-05-21 00:00:00+00:00,17,125,16,16664,
100,2020-05-22 00:00:00+00:00,19,163,16,16683,
101,2020-05-23 00:00:00+00:00,5,44,17,16688,
102,2020-05-24 00:00:00+00:00,13,116,17,16701,
103,2020-05-25 00:00:00+00:00,22,133,16,16723,
104,2020-05-26 00:00:00+00:00,50,91,16,16773,
105,2020-05-27 00:00:00+00:00,40,62,20,16813,פתיחת משק מלאה
106,2020-05-28 00:00:00+00:00,77,115,23,16890,
107,2020-05-29 00:00:00+00:00,113,39,32,17003,
108,2020-05-30 00:00:00+00:00,29,40,45,17032,
109,2020-05-31 00:00:00+00:00,87,61,49,17119,
110,2020-06-01 00:00:00+00:00,100,68,59,17219,
111,2020-06-02 00:00:00+00:00,121,53,70,17340,
112,2020-06-03 00:00:00+00:00,97,27,81,17437,
113,2020-06-04 00:00:00+00:00,142,42,89,17579,
114,2020-06-05 00:00:00+00:00,127,37,98,17706,
115,2020-06-06 00:00:00+00:00,78,24,100,17784,
116,2020-06-07 00:00:00+00:00,140,42,107,17924,
117,2020-06-08 00:00:00+00:00,179,39,115,18103,
118,2020-06-09 00:00:00+00:00,174,45,126,18277,
119,2020-06-10 00:00:00+00:00,241,51,133,18518,
120,2020-06-11 00:00:00+00:00,192,55,154,18710,
121,2020-06-12 00:00:00+00:00,184,54,161,18894,
122,2020-06-13 00:00:00+00:00,149,40,169,19043,
123,2020-06-14 00:00:00+00:00,136,49,179,19179,
124,2020-06-15 00:00:00+00:00,199,89,179,19378,
125,2020-06-16 00:00:00+00:00,299,52,182,19677,
126,2020-06-17 00:00:00+00:00,271,47,200,19948,
127,2020-06-18 00:00:00+00:00,302,50,204,20250,
128,2020-06-19 00:00:00+00:00,310,57,220,20560,
129,2020-06-20 00:00:00+00:00,161,36,238,20721,
130,2020-06-21 00:00:00+00:00,173,49,239,20894,
131,2020-06-22 00:00:00+00:00,345,59,245,21239,
132,2020-06-23 00:00:00+00:00,452,84,265,21691,
133,2020-06-24 00:00:00+00:00,487,72,287,22178,
134,2020-06-25 00:00:00+00:00,516,75,318,22694,
135,2020-06-26 00:00:00+00:00,464,130,349,23158,
136,2020-06-27 00:00:00+00:00,398,50,371,23556,
137,2020-06-28 00:00:00+00:00,386,139,405,23942,
138,2020-06-29 00:00:00+00:00,756,164,435,24698,
139,2020-06-30 00:00:00+00:00,789,129,494,25487,
140,2020-07-01 00:00:00+00:00,971,98,542,26458,
141,2020-07-02 00:00:00+00:00,1149,126,611,27607,
142,2020-07-03 00:00:00+00:00,941,116,701,28548,
143,2020-07-04 00:00:00+00:00,821,76,770,29369,
144,2020-07-05 00:00:00+00:00,831,143,830,30200,
145,2020-07-06 00:00:00+00:00,1134,193,894,31334,
146,2020-07-07 00:00:00+00:00,1390,173,948,32724,
147,2020-07-08 00:00:00+00:00,1327,224,1033,34051,
148,2020-07-09 00:00:00+00:00,1525,226,1084,35576,
149,2020-07-10 00:00:00+00:00,1410,213,1138,36986,
150,2020-07-11 00:00:00+00:00,1168,191,1205,38154,
151,2020-07-12 00:00:00+00:00,1239,338,1255,39393,
152,2020-07-13 00:00:00+00:00,1718,363,1313,41111,
153,2020-07-14 00:00:00+00:00,1603,313,1396,42714,
154,2020-07-15 00:00:00+00:00,1877,362,1427,44591,
155,2020-07-16 00:00:00+00:00,1937,508,1505,46528,
156,2020-07-17 00:00:00+00:00,1605,481,1564,48133,
157,2020-07-18 00:00:00+00:00,1448,448,1592,49581,
158,2020-07-19 00:00:00+00:00,1016,520,1632,50597,
159,2020-07-20 00:00:00+00:00,1887,628,1600,52484,
160,2020-07-21 00:00:00+00:00,2006,642,1624,54490,
161,2020-07-22 00:00:00+00:00,2044,3722,1682,56534,
162,2020-07-23 00:00:00+00:00,1989,6756,1706,58523,
163,2020-07-24 00:00:00+00:00,1831,1602,1713,60354,
164,2020-07-25 00:00:00+00:00,1112,590,1745,61466,
165,2020-07-26 00:00:00+00:00,1041,2734,1697,62507,
166,2020-07-27 00:00:00+00:00,2050,1766,1701,64557,
167,2020-07-28 00:00:00+00:00,2125,1553,1724,66682,
168,2020-07-29 00:00:00+00:00,1957,1406,1741,68639,
169,2020-07-30 00:00:00+00:00,1788,1684,1729,70427,
170,2020-07-31 00:00:00+00:00,1362,1292,1700,71789,
171,2020-08-01 00:00:00+00:00,625,533,1633,72414,
172,2020-08-02 00:00:00+00:00,708,2445,1564,73122,
173,2020-08-03 00:00:00+00:00,1800,1800,1516,74922,
174,2020-08-04 00:00:00+00:00,1729,1647,1480,76651,
175,2020-08-05 00:00:00+00:00,1690,1482,1424,78341,
176,2020-08-06 00:00:00+00:00,1677,1752,1386,80018,
177,2020-08-07 00:00:00+00:00,1765,1211,1370,81783,
178,2020-08-08 00:00:00+00:00,754,608,1427,82537,
179,2020-08-09 00:00:00+00:00,924,2339,1446,83461,
180,2020-08-10 00:00:00+00:00,1704,1393,1477,85165,
181,2020-08-11 00:00:00+00:00,1824,983,1463,86989,
182,2020-08-12 00:00:00+00:00,1622,1134,1476,88611,
183,2020-08-13 00:00:00+00:00,1644,1309,1467,90255,
184,2020-08-14 00:00:00+00:00,1388,985,1462,91643,
185,2020-08-15 00:00:00+00:00,757,564,1408,92400,
186,2020-08-16 00:00:00+00:00,1068,2219,1409,93468,
187,2020-08-17 00:00:00+00:00,1650,1195,1429,95118,
188,2020-08-18 00:00:00+00:00,1649,1119,1421,96767,
189,2020-08-19 00:00:00+00:00,1641,1476,1396,98408,
190,2020-08-20 00:00:00+00:00,1487,1436,1399,99895,
