,day_date,R
0,2020-03-01 00:00:00+00:00,2.64
1,2020-03-02 00:00:00+00:00,2.25
2,2020-03-03 00:00:00+00:00,2.39
3,2020-03-04 00:00:00+00:00,2.44
4,2020-03-05 00:00:00+00:00,2.36
5,2020-03-06 00:00:00+00:00,2.63
6,2020-03-07 00:00:00+00:00,2.18
7,2020-03-08 00:00:00+00:00,2.26
8,2020-03-09 00:00:00+00:00,2.31
9,2020-03-10 00:00:00+00:00,2.28
10,2020-03-11 00:00:00+00:00,2.36
11,2020-03-12 00:00:00+00:00,2.39
12,2020-03-13 00:00:00+00:00,2.32
13,2020-03-14 00:00:00+00:00,2.25
14,2020-03-15 00:00:00+00:00,2.13
15,2020-03-16 00:00:00+00:00,2.08
16,2020-03-17 00:00:00+00:00,1.96
17,2020-03-18 00:00:00+00:00,1.85
18,2020-03-19 00:00:00+00:00,1.74
19,2020-03-20 00:00:00+00:00,1.6
20,2020-03-21 00:00:00+00:00,1.52
21,2020-03-22 00:00:00+00:00,1.46
22,2020-03-23 00:00:00+00:00,1.38
23,2020-03-24 00:00:00+00:00,1.34
24,2020-03-25 00:00:00+00:00,1.25
25,2020-03-26 00:00:00+00:00,1.2
26,2020-03-27 00:00:00+00:00,1.13
27,2020-03-28 00:00:00+00:00,0.99
28,2020-03-29 00:00:00+00:00,0.89
29,2020-03-30 00:00:00+00:00,0.8
30,2020-03-31 00:00:00+00:00,0.77
31,2020-04-01 00:00:00+00:00,0.78
32,2020-04-02 00:00:00+00:00,0.82
33,2020-04-03 00:00:00+00:00,0.86
34,2020-04-04 00:00:00+00:00,0.89
35,2020-04-05 00:00:00+00:00,0.9
36,2020-04-06 00:00:00+00:00,0.91
37,2020-04-07 00:00:00+00:00,0.91
38,2020-04-08 00:00:00+00:00,0.9
39,2020-04-09 00:00:00+00:00,0.83
40,2020-04-10 00:00:00+00:00,0.81
41,2020-04-11 00:00:00+00:00,0.8
42,2020-04-12 00:00:00+00:00,0.8
43,2020-04-13 00:00:00+00:00,0.83
44,2020-04-14 00:00:00+00:00,0.84
45,2020-04-15 00:00:00+00:00,0.81
46,2020-04-16 00:00:00+00:00,0.74
47,2020-04-17 00:00:00+00:00,0.69
48,2020-04-18 00:00:00+00:00,0.68
49,2020-04-19 00:00:00+00:00,0.64
50,2020-04-20 00:00:00+00:00,0.63
51,2020-04-21 00:00:00+00:00,0.61
52,2020-04-22 00:00:00+00:00,0.59
53,2020-04-23 00:00:00+00:00,0.57
54,2020-04-24 00:00:00+00:00,0.56
55,2020-04-25 00:00:00+00:00,0.5
56,2020-04-26 00:00:00+00:00,0.55
57,2020-04-27 00:00:00+00:00,0.54
58,2020-04-28 00:00:00+00:00,0.5
59,2020-04-29 00:00:00+00:00,0.49
60,2020-04-30 00:00:00+00:00,0.54
61,2020-05-01 00:00:00+00:00,0.58
62,2020-05-02 00:00:00+00:00,0.61
63,2020-05-03 00:00:00+00:00,0.63
64,2020-05-04 00:00:00+00:00,0.6
65,2020-05-05 00:00:00+00:00,0.58
66,2020-05-06 00:00:00+00:00,0.56
67,2020-05-07 00:00:00+00:00,0.57
68,2020-05-08 00:00:00+00:00,0.62
69,2020-05-09 00:00:00+00:00,0.68
70,2020-05-10 00:00:00+00:00,0.64
71,2020-05-11 00:00:00+00:00,0.68
72,2020-05-12 00:00:00+00:00,0.77
73,2020-05-13 00:00:00+00:00,0.78
74,2020-05-14 00:00:00+00:00,0.81
75,2020-05-15 00:00:00+00:00,0.83
76,2020-05-16 00:00:00+00:00,1.1
77,2020-05-17 00:00:00+00:00,1.26
78,2020-05-18 00:00:00+00:00,1.54
79,2020-05-19 00:00:00+00:00,1.84
80,2020-05-20 00:00:00+00:00,1.89
81,2020-05-21 00:00:00+00:00,2.02
82,2020-05-22 00:00:00+00:00,2.08
83,2020-05-23 00:00:00+00:00,1.93
84,2020-05-24 00:00:00+00:00,1.86
85,2020-05-25 00:00:00+00:00,1.7
86,2020-05-26 00:00:00+00:00,1.46
87,2020-05-27 00:00:00+00:00,1.48
88,2020-05-28 00:00:00+00:00,1.43
89,2020-05-29 00:00:00+00:00,1.42
90,2020-05-30 00:00:00+00:00,1.36
91,2020-05-31 00:00:00+00:00,1.44
92,2020-06-01 00:00:00+00:00,1.38
93,2020-06-02 00:00:00+00:00,1.35
94,2020-06-03 00:00:00+00:00,1.36
95,2020-06-04 00:00:00+00:00,1.28
96,2020-06-05 00:00:00+00:00,1.22
97,2020-06-06 00:00:00+00:00,1.26
98,2020-06-07 00:00:00+00:00,1.2
99,2020-06-08 00:00:00+00:00,1.23
100,2020-06-09 00:00:00+00:00,1.26
101,2020-06-10 00:00:00+00:00,1.23
102,2020-06-11 00:00:00+00:00,1.22
103,2020-06-12 00:00:00+00:00,1.26
104,2020-06-13 00:00:00+00:00,1.27
105,2020-06-14 00:00:00+00:00,1.32
106,2020-06-15 00:00:00+00:00,1.34
107,2020-06-16 00:00:00+00:00,1.33
108,2020-06-17 00:00:00+00:00,1.38
109,2020-06-18 00:00:00+00:00,1.41
110,2020-06-19 00:00:00+00:00,1.46
111,2020-06-20 00:00:00+00:00,1.44
112,2020-06-21 00:00:00+00:00,1.46
113,2020-06-22 00:00:00+00:00,1.49
114,2020-06-23 00:00:00+00:00,1.5
115,2020-06-24 00:00:00+00:00,1.5
116,2020-06-25 00:00:00+00:00,1.51
117,2020-06-26 00:00:00+00:00,1.44
118,2020-06-27 00:00:00+00:00,1.43
119,2020-06-28 00:00:00+00:00,1.36
120,2020-06-29 00:00:00+00:00,1.3
121,2020-06-30 00:00:00+00:00,1.29
122,2020-07-01 00:00:00+00:00,1.28
123,2020-07-02 00:00:00+00:00,1.28
124,2020-07-03 00:00:00+00:00,1.28
125,2020-07-04 00:00:00+00:00,1.23
126,2020-07-05 00:00:00+00:00,1.23
127,2020-07-06 00:00:00+00:00,1.21
128,2020-07-07 00:00:00+00:00,1.18
129,2020-07-08 00:00:00+00:00,1.17
130,2020-07-09 00:00:00+00:00,1.12
131,2020-07-10 00:00:00+00:00,1.1
132,2020-07-11 00:00:00+00:00,1.11
133,2020-07-12 00:00:00+00:00,1.09
134,2020-07-13 00:00:00+00:00,1.07
135,2020-07-14 00:00:00+00:00,1.08
136,2020-07-15 00:00:00+00:00,1.04
137,2020-07-16 00:00:00+00:00,1.03
138,2020-07-17 00:00:00+00:00,1.04
139,2020-07-18 00:00:00+00:00,1.04
140,2020-07-19 00:00:00+00:00,1.02
141,2020-07-20 00:00:00+00:00,1.0
142,2020-07-21 00:00:00+00:00,0.96
143,2020-07-22 00:00:00+00:00,0.93
144,2020-07-23 00:00:00+00:00,0.91
145,2020-07-24 00:00:00+00:00,0.91
146,2020-07-25 00:00:00+00:00,0.9
147,2020-07-26 00:00:00+00:00,0.9
148,2020-07-27 00:00:00+00:00,0.92
149,2020-07-28 00:00:00+00:00,0.97
150,2020-07-29 00:00:00+00:00,0.99
151,2020-07-30 00:00:00+00:00,1.01
152,2020-07-31 00:00:00+00:00,1.01
153,2020-08-01 00:00:00+00:00,1.02
154,2020-08-02 00:00:00+00:00,1.01
155,2020-08-03 00:00:00+00:00,1.01
156,2020-08-04 00:00:00+00:00,0.97
157,2020-08-05 00:00:00+00:00,0.97
