,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
1,"אוכלוסייה, לפי מחוז ונפה, קבוצת אוכלוסייה, מין וגיל, סוף 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,הנתונים מוצגים במספרים מוחלטים.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,.. = הנתונים קטנים מ-3 או שווים ל-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,אזהרה: בשימוש בנתונים יש להביא בחשבון שככל שהמספר קטן יותר - כך יורדת רמת המהימנות של האומדן ועולה הסבירות לטעות. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,קבוצת אוכלוסייה,מחוז,נפה,מין,גיל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,"סה""כ",0.0,1.0,2.0,3.0,4,5.0,6.0,7,8.0,9.0,10,11.0,12.0,13,14,15,16,17,18,19.0,20.0,21.0,22.0,23.0,24,25.0,26,27,28.0,29,30,31,32,33,34,35.0,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74.0,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,+90
11,"סה""כ",סך הכל,,"סה""כ",6508817,136121.0,137071.0,133859.0,132917.0,128475,126048.0,123968.0,120901,120031.0,118914.0,115599,115150.0,114114.0,113781,112447,113056,112279,112198,113300,110255.0,107603.0,107651.0,106999.0,106981.0,108179,111217.0,109585,104564,101544.0,98756,97964,94845,88404,84815,79962,80287.0,79651,78477,76330,76267,75930,78920,76294,75627,74515,74445,75699,73739,74362,75782,74617,73960,66284,67804,71816,65180,52602,44378,38501,37960,39319,41732,41361,44007,44466,41618,39197,36139,34747,36475,32277,36301,32173,32789,30572.0,30693,30090,29296,26939,25185,20281,20582,15428,12797,9540,9336,9752,10236,8203,7553,20753
12,,,,גברים,3211149,69943.0,70464.0,68726.0,68167.0,66001,64784.0,63497.0,61946,61702.0,60842.0,59306,59064.0,58371.0,58319,57389,58042,57591,57690,58142,56309.0,54915.0,54751.0,54176.0,53900.0,54423,56225.0,55412,53044,51131.0,49759,49227,47554,44211,42200,39627,39869.0,39568,38901,37571,37153,37068,38411,37063,36680,36209,35875,36509,35766,35883,36553,36099,35742,31863,32507,34538,31331,25458,21552,18596,17896,18658,19488,19273,20243,20287,19097,17851,16352,15568,15934,14570,15952,13884,13844,12971.0,12628,12028,11528,10684,10373,8921,8861,6456,5205,4024,3604,3728,3739,3103,2726,8058
13,,,,נשים,3297668,66178.0,66607.0,65133.0,64750.0,62474,61264.0,60471.0,58955,58329.0,58072.0,56293,56086.0,55743.0,55462,55058,55014,54688,54508,55158,53946.0,52688.0,52900.0,52823.0,53081.0,53756,54992.0,54173,51520,50413.0,48997,48737,47291,44193,42615,40335,40418.0,40083,39576,38759,39114,38862,40509,39231,38947,38306,38570,39190,37973,38479,39229,38518,38218,34421,35297,37278,33849,27144,22826,19905,20064,20661,22244,22088,23764,24179,22521,21346,19787,19179,20541,17707,20349,18289,18945,17601.0,18065,18062,17768,16255,14812,11360,11721,8972,7592,5516,5732,6024,6497,5100,4827,12695
14,,מחוז ירושלים,סך הכל,"סה""כ",777360,20803.0,20635.0,20520.0,19886.0,18993,18908.0,18591.0,17707,17925.0,17178.0,16681,16490.0,16104.0,15351,14981,14803,14494,14491,14453,14849.0,14129.0,14007.0,13707.0,13332.0,12849,12933.0,12508,11647,11393.0,11049,10728,10547,9855,9108,8717,8772.0,8667,8403,8094,8201,7971,8341,7771,7668,7676,7059,7478,7129,7144,7135,7072,6957,6055,6686,6889,6111,5427,4675,4229,4107,3941,4231,3977,4259,4265,3960,3824,3571,3389,3832,3133,3523,3025,3033,3137.0,2672,2718,2466,2203,2341,1822,1830,1313,1129,994,891,904,965,758,772,2413
15,,,,גברים,386684,10653.0,10590.0,10367.0,10201.0,9769,9643.0,9577.0,9060,9181.0,8699.0,8518,8470.0,8281.0,7874,7665,7681,7592,7637,7325,7633.0,7246.0,7040.0,6801.0,6732.0,6525,6647.0,6359,5905,5734.0,5443,5339,5250,4947,4576,4335,4405.0,4442,4172,4044,4064,3987,4106,3841,3800,3850,3446,3601,3474,3432,3469,3423,3386,2866,3077,3188,2919,2576,2217,2024,1856,1890,1967,1875,1950,1880,1880,1815,1618,1515,1650,1450,1531,1392,1319,1248.0,1156,1108,1058,887,939,819,787,559,471,419,340,347,360,298,273,923
16,,,,נשים,390676,10150.0,10045.0,10153.0,9685.0,9224,9265.0,9014.0,8647,8744.0,8479.0,8163,8020.0,7823.0,7477,7316,7122,6902,6854,7128,7216.0,6883.0,6967.0,6906.0,6600.0,6324,6286.0,6149,5742,5659.0,5606,5389,5297,4908,4532,4382,4367.0,4225,4231,4050,4137,3984,4235,3930,3868,3826,3613,3877,3655,3712,3666,3649,3571,3189,3609,3701,3192,2851,2458,2205,2251,2051,2264,2102,2309,2385,2080,2009,1953,1874,2182,1683,1992,1633,1714,1889.0,1516,1610,1408,1316,1402,1003,1043,754,658,575,551,557,605,460,499,1490
