,0
0,Date
1,Total_Jerusalem__District
2,Total_Northern__District
3,Total_Haifa__District
4,Total_Central__District
5,Total_Tel_Aviv__District
6,Total_Southern__Distric
7,Total_Judea_and_Samaria__Area
8,Jews_and_Others_Jerusalem__District
9,Jews_and_Others_Northern__District
10,Jews_and_Others_Haifa__District
11,Jews_and_Others_Central__District
12,Jews_and_Others_Tel_Aviv__District
13,Jews_and_Others_Southern__Distric
14,Jews_and_Others_Judea_and_Samaria__Area
15,Arabs_Jerusalem__District
16,Arabs_Northern__District
17,Arabs_Haifa__District
18,Arabs_Central__District
19,Arabs_Tel_Aviv__District
20,Arabs_Southern__Distric
21,Arabs_Southern__Distric
22,Arabs_Southern__Distric
23,Arabs_Southern__Distric
24,Arabs_Southern__Distric
25,Arabs_Southern__Distric
