,date,amount,recovered,avg,sum,coronaEvents,Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc
0,2021-05-21 00:00:00+00:00,22,33,28,839321,,2021-05-21T00:00:00.000Z,1008,5439556,58.49,1223,5114259,55.0
1,2021-05-22 00:00:00+00:00,12,24,28,839333,,2021-05-22T00:00:00.000Z,139,5439695,58.5,323,5114582,55.0
2,2021-05-23 00:00:00+00:00,26,86,26,839359,,2021-05-23T00:00:00.000Z,2198,5441893,58.52,3125,5117707,55.03
3,2021-05-24 00:00:00+00:00,28,29,26,839387,,2021-05-24T00:00:00.000Z,1976,5443869,58.54,3461,5121168,55.07
4,2021-05-25 00:00:00+00:00,22,42,28,839409,,2021-05-25T00:00:00.000Z,1650,5445519,58.56,2437,5123605,55.1
5,2021-05-26 00:00:00+00:00,14,36,28,839423,,2021-05-26T00:00:00.000Z,1219,5446738,58.57,2324,5125929,55.12
6,2021-05-27 00:00:00+00:00,14,39,22,839437,,2021-05-27T00:00:00.000Z,1636,5448374,58.59,2944,5128873,55.15
7,2021-05-28 00:00:00+00:00,18,40,19,839455,,2021-05-28T00:00:00.000Z,616,5448990,58.6,1240,5130113,55.17
8,2021-05-29 00:00:00+00:00,12,17,19,839467,,2021-05-29T00:00:00.000Z,104,5449094,58.6,161,5130274,55.17
9,2021-05-30 00:00:00+00:00,3,71,19,839470,,2021-05-30T00:00:00.000Z,1546,5450640,58.61,1847,5132121,55.19
10,2021-05-31 00:00:00+00:00,14,27,15,839484,,2021-05-31T00:00:00.000Z,1522,5452162,58.63,1948,5134069,55.21
11,2021-06-01 00:00:00+00:00,35,36,13,839519,ביטול מגבלות התו הסגול והצורך בתו הירוק,2021-06-01T00:00:00.000Z,1177,5453339,58.64,1666,5135735,55.23
12,2021-06-02 00:00:00+00:00,13,48,15,839532,,2021-06-02T00:00:00.000Z,1290,5454629,58.66,1433,5137168,55.24
13,2021-06-03 00:00:00+00:00,10,139,15,839542,,2021-06-03T00:00:00.000Z,1504,5456133,58.67,1291,5138459,55.26
14,2021-06-04 00:00:00+00:00,31,11,15,839573,,2021-06-04T00:00:00.000Z,926,5457059,58.68,546,5139005,55.26
15,2021-06-05 00:00:00+00:00,5,7,16,839578,,2021-06-05T00:00:00.000Z,103,5457162,58.68,66,5139071,55.26
16,2021-06-06 00:00:00+00:00,4,56,15,839582,,2021-06-06T00:00:00.000Z,4180,5461342,58.73,873,5139944,55.27
17,2021-06-07 00:00:00+00:00,6,52,16,839588,,2021-06-07T00:00:00.000Z,4222,5465564,58.77,667,5140611,55.28
18,2021-06-08 00:00:00+00:00,30,17,14,839618,,2021-06-08T00:00:00.000Z,3552,5469116,58.81,1019,5141630,55.29
19,2021-06-09 00:00:00+00:00,6,24,14,839624,,2021-06-09T00:00:00.000Z,3454,5472570,58.85,1128,5142758,55.3
20,2021-06-10 00:00:00+00:00,18,30,13,839642,,2021-06-10T00:00:00.000Z,3188,5475758,58.88,1122,5143880,55.31
21,2021-06-11 00:00:00+00:00,18,21,14,839660,,2021-06-11T00:00:00.000Z,1241,5476999,58.9,406,5144286,55.32
22,2021-06-12 00:00:00+00:00,5,14,12,839665,,2021-06-12T00:00:00.000Z,138,5477137,58.9,89,5144375,55.32
23,2021-06-13 00:00:00+00:00,3,28,12,839668,,2021-06-13T00:00:00.000Z,3037,5480174,58.93,1165,5145540,55.33
24,2021-06-14 00:00:00+00:00,25,23,12,839693,,2021-06-14T00:00:00.000Z,2882,5483056,58.96,1349,5146889,55.35
