,name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,activeSickTo1000
0,גבע בנימין,2.4,ירוק,1.7,0.0123456790123,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,44.36338370679173,39.51710960569741,
1,קרית מלאכי,4.8,ירוק,4.9,0.0269662921348,0.2,18,ירוק,2021-07-18 00:00:00+00:00,51.94693173416578,45.97880555327364,7.4
2,אילת,4.4,ירוק,6.1,0.0190930787589,2.2,35,ירוק,2021-07-18 00:00:00+00:00,70.73723503532862,66.38162530710191,6.7
3,טובא-זנגריה,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,56.77363147959924,51.98199506316248,0.0
4,צור הדסה,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,52.69114470842332,48.31101511879049,0.0
5,אופקים,3.8,ירוק,3.4,0.0163204747774,0.1000000000000001, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,55.01266291926616,49.545988016554446,
6,אבו ג'ווייעד (שבט),2.7,ירוק,2.2,0.0070422535211,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,19.294471929447194,16.99290169929017,
7,הוד השרון,3.8,ירוק,11.6,0.0154671066199,0.1904761904761001,93,ירוק,2021-07-18 00:00:00+00:00,72.11489460273339,67.27511389081924,14.4
8,נס ציונה,6.0,ירוק,14.2,0.0223394353087,1.5714285714285,81,ירוק,2021-07-18 00:00:00+00:00,67.05058180954643,61.78856961925116,16.0
9,מג'דל שמס,2.0,ירוק,0.9,0.0128205128205,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,62.71789398790466,51.867662753468515,
10,יאנוח-ג'ת,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,59.54310980103169,51.84966838614591,0.0
11,ירושלים,4.0,ירוק,1.6,0.0075125208681,0.9610389610389001,189,ירוק,2021-07-18 00:00:00+00:00,48.55674582019821,42.36302045510832,2.0
12,מצפה רמון,3.2,ירוק,1.9,0.0084745762711,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,55.778506656376614,51.10939610264326,
13,כפר האורנים,3.3,ירוק,0.0,0.0,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,75.46524876566653,68.7808583364983,
14,חיפה,4.1,ירוק,3.2,0.0099556325073,0.625,117,ירוק,2021-07-18 00:00:00+00:00,69.29233878749811,65.16223888610118,4.1
15,מצפה יריחו,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,45.30214424951267,40.03898635477583,0.0
16,אעבלין,2.2,ירוק,2.2,0.0125,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,56.855345911949684,51.439141694413614,
17,קרית אונו,3.2,ירוק,6.4,0.012183692596,-0.3809523809524,35,ירוק,2021-07-18 00:00:00+00:00,70.68517337780176,65.14051694541175,8.6
18,באר שבע,5.7,ירוק,4.4,0.0166816143497,1.325,112,ירוק,2021-07-18 00:00:00+00:00,68.49836675782437,63.85264737161956,5.3
19,ירכא,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,53.894009216589865,46.025345622119815,0.0
20,עין מאהל,2.5,כתום,1.5,0.006116207951,0.0, קטן מ-15 ,כתום,2021-07-18 00:00:00+00:00,58.33887043189369,50.19564414913253,
21,הוואשלה (שבט),1.7,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,8.553191489361703,7.531914893617022,0.0
22,ניצן,3.8,ירוק,11.8,0.0545454545454,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,59.06940063091483,53.47003154574133,
23,כוכב יאיר,4.4,ירוק,18.3,0.0210803689064,0.06666666666660004,23,ירוק,2021-07-18 00:00:00+00:00,89.26527809567408,85.44289311055161,26.3
24,מבוא חורון,4.2,ירוק,14.7,0.0380952380952,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,44.370860927152314,36.86534216335541,
25,עץ אפרים,5.2,ירוק,36.4,0.0428571428571,-0.2307692307693, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,56.07287449392713,49.31174089068826,
26,מרכז שפירא,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,63.10962901208838,57.23218007503126,0.0
27,ביר הדאג',3.1,ירוק,1.7,0.0588235294117,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,2.5020850708924103,2.0183486238532113,
28,נווה דניאל,3.6,צהוב,4.3,0.0133333333333,0.0, קטן מ-15 ,צהוב,2021-07-18 00:00:00+00:00,69.91379310344827,60.73275862068965,
29,נהריה,4.8,ירוק,5.1,0.0192802056555,1.0,38,ירוק,2021-07-18 00:00:00+00:00,73.89379783405701,69.2240112183007,6.4
30,קרית ים,4.6,ירוק,5.8,0.0159651669085,0.9166666666665999,28,ירוק,2021-07-18 00:00:00+00:00,71.22293025971717,67.08725786387062,7.1
31,שערי תקווה,5.3,ירוק,41.3,0.0304449648711,-0.6753246753247,36,ירוק,2021-07-18 00:00:00+00:00,65.39923954372624,59.74541246487023,59.5
32,ברכה,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,42.10526315789473,34.2797783933518,0.0
33,מיתר,2.6,ירוק,1.0,0.0023529411764,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,76.8142125865703,71.27371273712737,
34,טבריה,3.5,ירוק,4.6,0.0189982728842,1.1,21,ירוק,2021-07-18 00:00:00+00:00,56.81171474850063,52.28516394519108,4.6
35,יפיע,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,54.03150585552907,47.85988185304176,0.0
36,חדרה,5.7,ירוק,10.4,0.0271696122395,1.5121951219512,120,ירוק,2021-07-18 00:00:00+00:00,64.10621866407892,59.88294517224648,12.1
37,קדימה-צורן,5.1,ירוק,11.0,0.0212044105173,0.25,33,ירוק,2021-07-18 00:00:00+00:00,68.69798775923562,63.43181718110167,14.5
