,date,amount,amountVirusDiagnosis,amountPersonTested,amountMagen,positiveAmount,positiveRate
0,2020-02-20 00:00:00+00:00,29,29,28,0,0,0.0
1,2020-02-21 00:00:00+00:00,28,28,28,0,1,3.57
2,2020-02-22 00:00:00+00:00,13,13,13,0,0,0.0
3,2020-02-23 00:00:00+00:00,56,56,56,0,0,0.0
4,2020-02-24 00:00:00+00:00,75,74,71,0,1,1.41
5,2020-02-25 00:00:00+00:00,108,108,108,0,0,0.0
6,2020-02-26 00:00:00+00:00,108,108,107,0,0,0.0
7,2020-02-27 00:00:00+00:00,171,171,139,0,2,1.44
8,2020-02-28 00:00:00+00:00,118,118,118,0,3,2.54
9,2020-02-29 00:00:00+00:00,158,158,158,0,0,0.0
10,2020-03-01 00:00:00+00:00,187,178,161,0,2,1.24
11,2020-03-02 00:00:00+00:00,171,170,170,0,5,2.94
12,2020-03-03 00:00:00+00:00,235,227,227,0,3,1.32
13,2020-03-04 00:00:00+00:00,129,128,127,0,0,0.0
14,2020-03-05 00:00:00+00:00,173,165,164,0,15,9.15
15,2020-03-06 00:00:00+00:00,274,274,273,0,5,1.83
16,2020-03-07 00:00:00+00:00,336,324,322,0,4,1.24
17,2020-03-08 00:00:00+00:00,421,417,415,0,11,2.65
18,2020-03-09 00:00:00+00:00,518,515,509,0,6,1.18
19,2020-03-10 00:00:00+00:00,520,495,489,1,37,7.57
20,2020-03-11 00:00:00+00:00,401,376,371,0,21,5.66
21,2020-03-12 00:00:00+00:00,607,594,588,0,23,3.91
22,2020-03-13 00:00:00+00:00,694,689,685,0,36,5.26
23,2020-03-14 00:00:00+00:00,614,611,604,0,32,5.3
24,2020-03-15 00:00:00+00:00,1183,1125,1092,0,46,4.21
25,2020-03-16 00:00:00+00:00,1344,1320,1253,0,81,6.46
26,2020-03-17 00:00:00+00:00,1646,1565,1490,1,99,6.64
27,2020-03-18 00:00:00+00:00,2106,1990,1948,0,128,6.57
28,2020-03-19 00:00:00+00:00,2076,1983,1894,0,145,7.66
29,2020-03-20 00:00:00+00:00,2317,2231,2210,0,185,8.37
30,2020-03-21 00:00:00+00:00,2108,2066,2060,0,218,10.58
31,2020-03-22 00:00:00+00:00,3226,3096,3043,1,264,8.68
32,2020-03-23 00:00:00+00:00,3523,3397,3354,1,359,10.7
33,2020-03-24 00:00:00+00:00,4667,4518,4457,0,433,9.72
34,2020-03-25 00:00:00+00:00,5925,5776,5741,0,431,7.51
35,2020-03-26 00:00:00+00:00,6457,6236,6185,1,529,8.55
36,2020-03-27 00:00:00+00:00,5739,5572,5539,1,440,7.94
37,2020-03-28 00:00:00+00:00,5739,5534,5489,1,488,8.89
38,2020-03-29 00:00:00+00:00,7566,7227,7183,2,539,7.5
39,2020-03-30 00:00:00+00:00,7100,6821,6757,0,557,8.24
40,2020-03-31 00:00:00+00:00,7988,7530,7464,0,749,10.03
41,2020-04-01 00:00:00+00:00,9008,8577,8507,7,706,8.3
42,2020-04-02 00:00:00+00:00,10228,9469,9393,3,739,7.87
43,2020-04-03 00:00:00+00:00,10330,9781,9696,2,605,6.24
44,2020-04-04 00:00:00+00:00,6355,5988,5950,1,441,7.41
45,2020-04-05 00:00:00+00:00,9396,8779,8724,0,601,6.89
46,2020-04-06 00:00:00+00:00,7498,6768,6712,0,457,6.81
47,2020-04-07 00:00:00+00:00,6967,6176,6140,0,382,6.22
48,2020-04-08 00:00:00+00:00,5879,4949,4889,156,343,7.02
49,2020-04-09 00:00:00+00:00,5748,5001,4954,263,351,7.09
50,2020-04-10 00:00:00+00:00,7347,6326,6256,505,364,5.82
51,2020-04-11 00:00:00+00:00,6702,5763,5712,945,360,6.3
52,2020-04-12 00:00:00+00:00,10598,8524,8407,1253,570,6.78
53,2020-04-13 00:00:00+00:00,10950,9184,8983,972,448,4.99
54,2020-04-14 00:00:00+00:00,12678,10961,10740,1103,409,3.81
55,2020-04-15 00:00:00+00:00,9450,7797,7659,159,318,4.15
56,2020-04-16 00:00:00+00:00,12788,11211,11090,183,303,2.73
57,2020-04-17 00:00:00+00:00,11594,9968,9889,305,307,3.1
58,2020-04-18 00:00:00+00:00,10606,8958,8881,1300,294,3.31
59,2020-04-19 00:00:00+00:00,11479,9996,9890,1575,291,2.94
60,2020-04-20 00:00:00+00:00,15365,13293,13189,3021,312,2.37
61,2020-04-21 00:00:00+00:00,13612,11634,11554,3057,289,2.5
62,2020-04-22 00:00:00+00:00,13293,11770,11690,2633,226,1.93
63,2020-04-23 00:00:00+00:00,14183,12258,12128,2221,281,2.32
64,2020-04-24 00:00:00+00:00,12628,10478,10383,2497,251,2.42
65,2020-04-25 00:00:00+00:00,9077,7357,7302,145,164,2.25
66,2020-04-26 00:00:00+00:00,8464,7341,7262,280,93,1.28
67,2020-04-27 00:00:00+00:00,11548,9419,9337,10,133,1.42
68,2020-04-28 00:00:00+00:00,10641,8816,8755,3,167,1.91
69,2020-04-29 00:00:00+00:00,8996,7392,7319,5,83,1.13
70,2020-04-30 00:00:00+00:00,9930,8592,8527,9,169,1.98
71,2020-05-01 00:00:00+00:00,11053,9220,9168,443,117,1.28
72,2020-05-02 00:00:00+00:00,5568,4760,4728,300,57,1.21
73,2020-05-03 00:00:00+00:00,8029,7398,7348,1184,27,0.37
74,2020-05-04 00:00:00+00:00,9260,7956,7904,1048,55,0.7
75,2020-05-05 00:00:00+00:00,8959,7689,7653,782,33,0.43
76,2020-05-06 00:00:00+00:00,9466,8545,8491,1922,66,0.78
77,2020-05-07 00:00:00+00:00,10119,9130,9093,967,62,0.68
78,2020-05-08 00:00:00+00:00,8157,7187,7154,374,33,0.46
79,2020-05-09 00:00:00+00:00,3869,3509,3484,165,20,0.57
80,2020-05-10 00:00:00+00:00,4944,4410,4362,274,29,0.66
81,2020-05-11 00:00:00+00:00,9215,7826,7776,1623,39,0.5
82,2020-05-12 00:00:00+00:00,7538,6681,6635,1146,23,0.35
83,2020-05-13 00:00:00+00:00,8272,7525,7440,2871,37,0.5
84,2020-05-14 00:00:00+00:00,8416,7677,7634,3158,22,0.29
85,2020-05-15 00:00:00+00:00,5696,5073,5050,1798,12,0.24
86,2020-05-16 00:00:00+00:00,1502,1343,1324,214,5,0.38
87,2020-05-17 00:00:00+00:00,4633,4219,4192,1126,15,0.36
88,2020-05-18 00:00:00+00:00,7692,6797,6763,1400,28,0.41
89,2020-05-19 00:00:00+00:00,7142,6502,6475,1713,22,0.34
90,2020-05-20 00:00:00+00:00,5968,5620,5589,904,15,0.27
91,2020-05-21 00:00:00+00:00,6165,5602,5556,755,21,0.38
92,2020-05-22 00:00:00+00:00,4995,4615,4585,1377,20,0.44
93,2020-05-23 00:00:00+00:00,718,670,661,0,5,0.76
94,2020-05-24 00:00:00+00:00,3808,3439,3376,248,13,0.39
95,2020-05-25 00:00:00+00:00,5333,4850,4817,512,23,0.48
96,2020-05-26 00:00:00+00:00,6819,6514,6475,1844,53,0.82
97,2020-05-27 00:00:00+00:00,6728,6441,6403,2039,41,0.64
98,2020-05-28 00:00:00+00:00,5353,5031,5018,1157,77,1.53
99,2020-05-29 00:00:00+00:00,1863,1803,1786,1,113,6.33
100,2020-05-30 00:00:00+00:00,1059,1041,1030,0,29,2.82
101,2020-05-31 00:00:00+00:00,5640,5499,5465,392,88,1.61
102,2020-06-01 00:00:00+00:00,8155,7907,7807,1303,104,1.33
103,2020-06-02 00:00:00+00:00,11757,11577,11510,1902,125,1.09
104,2020-06-03 00:00:00+00:00,13209,13042,12958,1938,99,0.76
105,2020-06-04 00:00:00+00:00,14899,14728,14545,787,141,0.97
106,2020-06-05 00:00:00+00:00,16474,16351,16244,1096,129,0.79
