,date,amountNoSurvey,amountSurvey
0,2020-02-20 00:00:00+00:00,29,0
1,2020-02-21 00:00:00+00:00,27,1
2,2020-02-22 00:00:00+00:00,13,0
3,2020-02-23 00:00:00+00:00,52,4
4,2020-02-24 00:00:00+00:00,73,1
5,2020-02-25 00:00:00+00:00,108,0
6,2020-02-26 00:00:00+00:00,106,2
7,2020-02-27 00:00:00+00:00,169,2
8,2020-02-28 00:00:00+00:00,116,2
9,2020-02-29 00:00:00+00:00,158,0
10,2020-03-01 00:00:00+00:00,168,10
11,2020-03-02 00:00:00+00:00,166,4
12,2020-03-03 00:00:00+00:00,220,7
13,2020-03-04 00:00:00+00:00,122,6
14,2020-03-05 00:00:00+00:00,158,7
15,2020-03-06 00:00:00+00:00,270,4
16,2020-03-07 00:00:00+00:00,315,9
17,2020-03-08 00:00:00+00:00,409,8
18,2020-03-09 00:00:00+00:00,503,12
19,2020-03-10 00:00:00+00:00,476,19
20,2020-03-11 00:00:00+00:00,368,8
21,2020-03-12 00:00:00+00:00,575,19
22,2020-03-13 00:00:00+00:00,653,36
23,2020-03-14 00:00:00+00:00,580,31
24,2020-03-15 00:00:00+00:00,1073,52
25,2020-03-16 00:00:00+00:00,1258,62
26,2020-03-17 00:00:00+00:00,1514,51
27,2020-03-18 00:00:00+00:00,1908,82
28,2020-03-19 00:00:00+00:00,1882,101
29,2020-03-20 00:00:00+00:00,2124,107
30,2020-03-21 00:00:00+00:00,1973,93
31,2020-03-22 00:00:00+00:00,2939,157
32,2020-03-23 00:00:00+00:00,3224,173
33,2020-03-24 00:00:00+00:00,4293,225
34,2020-03-25 00:00:00+00:00,5487,289
35,2020-03-26 00:00:00+00:00,5970,266
36,2020-03-27 00:00:00+00:00,5218,354
37,2020-03-28 00:00:00+00:00,5132,402
38,2020-03-29 00:00:00+00:00,6906,321
39,2020-03-30 00:00:00+00:00,6523,298
40,2020-03-31 00:00:00+00:00,7097,433
41,2020-04-01 00:00:00+00:00,8007,570
42,2020-04-02 00:00:00+00:00,8634,835
43,2020-04-03 00:00:00+00:00,9120,661
44,2020-04-04 00:00:00+00:00,5465,523
45,2020-04-05 00:00:00+00:00,7909,870
46,2020-04-06 00:00:00+00:00,6281,487
47,2020-04-07 00:00:00+00:00,5617,559
48,2020-04-08 00:00:00+00:00,4438,511
49,2020-04-09 00:00:00+00:00,4550,451
50,2020-04-10 00:00:00+00:00,5428,898
51,2020-04-11 00:00:00+00:00,4538,1225
52,2020-04-12 00:00:00+00:00,6903,1621
53,2020-04-13 00:00:00+00:00,7832,1352
54,2020-04-14 00:00:00+00:00,8463,2498
